BIN,BINLCINDEX,GSHIFT,PSINDEX,PHASE,BAND,MAG
1,1,19.02160082963508,218744,0.9131876310025182,u,20.937387236519534
1,1,19.02160082963508,218744,0.964577631003056,u,20.976671857897227
1,1,19.02160082963508,218744,0.3005726871005252,u,20.931576811409244
1,1,19.02160082963508,218744,0.35266268710520743,u,20.206287297450704
1,1,19.02160082963508,218744,0.9761990896034363,u,20.970970365901632
1,1,19.02160082963508,218744,0.028289089600842532,u,21.01534599735838
1,1,19.02160082963508,218744,0.3701863542026904,u,19.94193714871485
1,1,19.02160082963508,218744,0.8575714102992422,u,20.839168465089834
1,1,19.02160082963508,218744,0.9089614102997801,u,20.931899740915387
1,1,19.02160082963508,218744,0.10653657860123533,u,20.93089385060666
1,1,19.02160082963508,218744,0.1586165786025322,u,20.9134210123968
1,1,19.02160082963508,218744,0.3463218889018833,g,18.919810384817435
1,1,19.02160082963508,218744,0.8448169450051732,g,19.16737933354825
1,1,19.02160082963508,218744,0.9331322255015668,g,19.27328405471995
1,1,19.02160082963508,218744,0.9907722255006495,g,19.301818930195004
1,1,19.02160082963508,218744,0.9539193011995748,g,19.290547105613232
1,1,19.02160082963508,218744,0.2033752549050165,i,19.151607776331446
1,1,19.02160082963508,218744,0.24226525490118878,i,19.181891109467948
1,1,19.02160082963508,218744,0.06495536710172667,i,19.115381252574466
1,1,19.02160082963508,218744,0.05737705010625138,i,19.10994148840931
1,1,19.02160082963508,218744,0.9328371623015692,i,19.075204993932097
1,1,19.02160082963508,218744,0.19341660840371788,z,19.106511864132596
1,1,19.02160082963508,218744,0.3385566084042557,z,19.03622866541644
1,1,19.02160082963508,218744,0.10846672059935236,z,19.095408261676372
1,1,19.02160082963508,218744,0.16887672060485648,z,19.120441626788903
1,1,19.02160082963508,218744,0.25084739380210475,z,19.172744224231135
1,1,19.02160082963508,218744,0.8495294134060918,z,19.009119054143913
1,1,19.02160082963508,218744,0.12696458170555402,z,19.09616893057922
1,1,19.02160082963508,218744,0.17835458170609186,z,19.10558969843212
1,1,19.02160082963508,218744,0.9225746939062502,z,19.031046391467637
1,2,19.063591770765484,218247,0.8669176310025182,u,20.078067195201935
1,2,19.063591770765484,218247,0.918307631003056,u,20.17776922222689
1,2,19.063591770765484,218247,0.6325077588005251,u,19.879957247382755
1,2,19.063591770765484,218247,0.6845977588052073,u,19.61583078443269
1,2,19.063591770765484,218247,0.9299290896034362,u,20.22283425224639
1,2,19.063591770765484,218247,0.9820190896008425,u,20.340212684401042
1,2,19.063591770765484,218247,0.7021214259026903,u,19.628687301694516
1,2,19.063591770765484,218247,0.8113014102992422,u,19.9064789068129
1,2,19.063591770765484,218247,0.86269141029978,u,20.063319616948654
1,2,19.063591770765484,218247,0.43847165030123525,u,20.76800940500897
1,2,19.063591770765484,218247,0.4905516503025321,u,20.861033567749654
1,2,19.063591770765484,218247,0.6782569606018832,g,18.41495700229987
1,2,19.063591770765484,218247,0.7985469450051732,g,18.670924422159366
1,2,19.063591770765484,218247,0.8868622255015668,g,18.867904549639963
1,2,19.063591770765484,218247,0.9445022255006494,g,18.955331850581963
1,2,19.063591770765484,218247,0.9076493011995748,g,18.893296594194464
1,2,19.063591770765484,218247,0.5353103266050164,i,19.175793027189485
1,2,19.063591770765484,218247,0.5742003266011887,i,19.088944874998557
1,2,19.063591770765484,218247,0.3968904388017266,i,19.064190959278204
1,2,19.063591770765484,218247,0.3893121218062513,i,19.029412066460594
1,2,19.063591770765484,218247,0.8865671623015692,i,18.784434012745127
1,2,19.063591770765484,218247,0.5253516801037178,z,19.155570763043393
1,2,19.063591770765484,218247,0.6704916801042556,z,18.623106775877872
1,2,19.063591770765484,218247,0.4404017922993523,z,19.061271072387676
1,2,19.063591770765484,218247,0.5008117923048564,z,19.185232243991415
1,2,19.063591770765484,218247,0.5827824655021047,z,19.0141117379173
1,2,19.063591770765484,218247,0.8032594134060917,z,18.722211678759763
1,2,19.063591770765484,218247,0.45889965340555394,z,19.082724879959517
1,2,19.063591770765484,218247,0.5102896534060918,z,19.146436300585517
1,2,19.063591770765484,218247,0.8763046939062502,z,18.778983615137605
1,3,19.74733208493315,234343,0.19031763100251808,u,21.379015976895122
1,3,19.74733208493315,234343,0.24170763100305592,u,21.31795453234243
1,3,19.74733208493315,234343,0.498310137700525,u,20.21246512004592
1,3,19.74733208493315,234343,0.5504001377052072,u,20.26351893686015
1,3,19.74733208493315,234343,0.25332908960343614,u,21.304622244899917
1,3,19.74733208493315,234343,0.3054190896008424,u,21.390084452175973
1,3,19.74733208493315,234343,0.025521425902690353,u,21.321192726311835
1,3,19.74733208493315,234343,0.1347014102992421,u,21.381407496410702
1,3,19.74733208493315,234343,0.18609141029977994,u,21.311749985946353
1,3,19.74733208493315,234343,0.30427402920123514,u,21.43214862615105
1,3,19.74733208493315,234343,0.356354029202532,u,21.508054657534156
1,3,19.74733208493315,234343,0.5440593395018831,g,19.1240624658617
1,3,19.74733208493315,234343,0.12194694500517311,g,20.04212845924614
1,3,19.74733208493315,234343,0.2102622255015667,g,19.993718810013178
1,3,19.74733208493315,234343,0.26790222550064935,g,20.021406231941462
1,3,19.74733208493315,234343,0.23104930119957467,g,19.990235494421885
1,3,19.74733208493315,234343,0.4011127055050163,i,19.775086354144428
1,3,19.74733208493315,234343,0.4400027055011886,i,19.490696411124322
1,3,19.74733208493315,234343,0.2626928177017265,i,19.704719511846488
1,3,19.74733208493315,234343,0.2551145007062512,i,19.70572737518773
1,3,19.74733208493315,234343,0.2099671623015691,i,19.696262959099283
