BIN,BINLCINDEX,GSHIFT,PSINDEX,PHASE,BAND,MAG
1,1,19.60941989140236,219462,0.420044091002483,u,20.614030134253063
1,1,19.60941989140236,219462,0.4714340910030209,u,20.695007617132575
1,1,19.60941989140236,219462,0.7904050456004901,u,21.020246323339688
1,1,19.60941989140236,219462,0.8424950456051723,u,21.022799604148986
1,1,19.60941989140236,219462,0.6249279560034011,u,20.960319587880313
1,1,19.60941989140236,219462,0.6770179560008074,u,21.006297556639133
1,1,19.60941989140236,219462,0.9281885272026551,u,21.101905389153558
1,1,19.60941989140236,219462,0.39854948179920685,u,20.561210175485602
1,1,19.60941989140236,219462,0.44993948179974474,u,20.67533485387875
1,1,19.60941989140236,219462,0.5964423456012,u,20.881337699253564
1,1,19.60941989140236,219462,0.6485223456024969,u,20.98132940320181
1,1,19.60941989140236,219462,0.6941056606018486,g,19.80530087863845
1,1,19.60941989140236,219462,0.7600756606051385,g,19.817615293896118
1,1,19.60941989140236,219462,0.7632704336015321,g,19.8304286791865
1,1,19.60941989140236,219462,0.8209104336006148,g,19.82961497667595
1,1,19.60941989140236,219462,0.7386647991995401,g,19.80495525304421
1,1,19.60941989140236,219462,0.6987110274049818,i,19.494328816645343
1,1,19.60941989140236,219462,0.7376010274011541,i,19.484261489408663
1,1,19.60941989140236,219462,0.526242936601692,i,19.390755900559483
1,1,19.60941989140236,219462,0.5924406200062167,i,19.418731042483476
1,1,19.60941989140236,219462,0.4338525292015345,i,19.31017508128916
1,1,19.60941989140236,219462,0.6263208876036832,z,19.38752961200377
1,1,19.60941989140236,219462,0.771460887604221,z,19.468151720946516
1,1,19.60941989140236,219462,0.5073227967993177,z,19.33155581697909
1,1,19.60941989140236,219462,0.5677327968048218,z,19.381377551713854
1,1,19.60941989140236,219462,0.4454142520020701,z,19.31481691398569
1,1,19.60941989140236,219462,0.6002267084060571,z,19.366198369966373
1,1,19.60941989140236,219462,0.8265895722055193,z,19.48887185995118
1,1,19.60941989140236,219462,0.8779795722060572,z,19.498140681728728
1,1,19.60941989140236,219462,0.5881514814062155,z,19.39163538724734
1,2,19.50893620136365,217575,0.21581409100248305,u,21.000371604299676
1,2,19.50893620136365,217575,0.2672040910030209,u,21.071318422304174
1,2,19.50893620136365,217575,0.98567638500049,u,21.068361998219054
1,2,19.50893620136365,217575,0.037766385005172154,u,21.075498663489604
1,2,19.50893620136365,217575,0.420697956003401,u,20.296914065527574
1,2,19.50893620136365,217575,0.47278795600080725,u,20.001804525687454
1,2,19.50893620136365,217575,0.12345986660265496,u,21.08132044266198
1,2,19.50893620136365,217575,0.19431948179920688,u,21.017898390631192
1,2,19.50893620136365,217575,0.24570948179974472,u,21.038013039073974
1,2,19.50893620136365,217575,0.3922123456011999,u,20.697257883499038
1,2,19.50893620136365,217575,0.44429234560249675,u,20.079742439647774
1,2,19.50893620136365,217575,0.4898756606018486,g,18.910316238174453
1,2,19.50893620136365,217575,0.5558456606051385,g,19.038886474170845
1,2,19.50893620136365,217575,0.5590404336015322,g,19.04389202082078
1,2,19.50893620136365,217575,0.01618177300061463,g,19.74036029633391
1,2,19.50893620136365,217575,0.5344347991995402,g,18.96881122713606
1,2,19.50893620136365,217575,0.4944810274049818,i,18.944668356860415
1,2,19.50893620136365,217575,0.533371027401154,i,18.958935025843104
1,2,19.50893620136365,217575,0.32201293660169195,i,19.469662159212398
1,2,19.50893620136365,217575,0.38821062000621653,i,19.310671667978497
1,2,19.50893620136365,217575,0.2296225292015346,i,19.379685161917994
1,2,19.50893620136365,217575,0.4220908876036833,z,19.049902342937802
1,2,19.50893620136365,217575,0.5672308876042209,z,19.010525237001985
1,2,19.50893620136365,217575,0.30309279679931755,z,19.413823417886004
1,2,19.50893620136365,217575,0.36350279680482167,z,19.383356885241568
1,2,19.50893620136365,217575,0.24118425200206994,z,19.343090059871432
1,2,19.50893620136365,217575,0.39599670840605716,z,19.18888727310842
1,2,19.50893620136365,217575,0.021860911605519284,z,19.297679124466455
1,2,19.50893620136365,217575,0.07325091160605712,z,19.295576346145147
1,2,19.50893620136365,217575,0.3839214814062155,z,19.220486184760777
1,3,19.539581275186844,21964,0.931146006402483,u,20.10979645141066
1,3,19.539581275186844,21964,0.9825360064030209,u,20.328670731797885
1,3,19.539581275186844,21964,0.25288638500049,u,21.19201461007357
1,3,19.539581275186844,21964,0.3049763850051722,u,21.302199138100537
1,3,19.539581275186844,21964,0.1360298714034011,u,20.880244303092475
1,3,19.539581275186844,21964,0.18811987140080735,u,21.017802600229427
1,3,19.539581275186844,21964,0.8387917820026551,u,20.210554448891212
1,3,19.539581275186844,21964,0.9096513971992068,u,20.05037573302367
1,3,19.539581275186844,21964,0.9610413971997447,u,20.226023054257755
1,3,19.539581275186844,21964,0.10754426100120001,u,20.78384245611954
