band,time_mjd
z ,55297.38403
z ,55297.52917
z ,55298.43403
z ,55298.49444
g ,55300.37431
g ,55300.44028
g ,55303.36597
g ,55303.42361
z ,55305.38611
g ,55324.38333
z ,55325.41389
z ,55327.39375
z ,55327.44514
z ,55328.32431
i ,55334.27986
i ,55334.31875
i ,55335.27639
i ,55352.29306
i ,55353.30347
u ,56015.52708
u ,56015.57847
u ,56016.48194
u ,56016.53403
u ,56030.34444
u ,56030.39653
u ,56306.53125
u ,56306.58611
u ,56306.6375
u ,56308.5375
u ,56308.58958
